frame,expr_l2,theta_l2,expr_cosine
0,6.007661,1.7653168,
1,6.190303,1.8004804,
2,6.2236605,1.7927468,
3,6.0188174,1.7870044,
4,5.7956343,1.7924469,
5,6.008387,1.7964503,
6,5.786793,1.8013531,
7,5.4401193,1.7890916,
8,5.4677453,1.7826957,
9,5.438968,1.7746449,
10,5.1330314,1.7674092,
11,5.116554,1.758148,
12,5.322812,1.7620558,
13,4.9776525,1.7677708,
14,5.04223,1.7723396,
15,5.2363896,1.7766278,
16,4.985792,1.7818283,
17,4.8271017,1.7818084,
18,4.7764273,1.7776963,
19,5.188815,1.7848736,
20,5.5092764,1.7926723,
21,5.4408226,1.7908754,
22,5.2814417,1.7875812,
23,5.278883,1.7869998,
24,5.4390397,1.7751318,
25,5.751533,1.7623974,
26,5.9513645,1.7586684,
27,5.9085026,1.7317983,
28,5.869562,1.7294844,
29,5.529888,1.7233765,
30,5.0672083,1.7387333,
31,4.599717,1.7480376,
32,4.558474,1.7478895,
33,4.6043515,1.7588868,
34,4.9425454,1.7667413,
35,5.299941,1.7863077,
36,5.1915946,1.7752333,
37,5.3906937,1.7796181,
38,5.498748,1.7792362,
39,5.9296303,1.7987305,
40,5.9979815,1.7992506,
41,5.9083505,1.8031039,
42,5.834455,1.8086987,
43,5.686751,1.802676,
44,5.1053886,1.7979125,
45,4.763388,1.7998891,
46,4.7307553,1.7893691,
47,5.166754,1.7812337,
48,5.202006,1.7766268,
49,4.958032,1.7777605,
50,5.1708837,1.5522577,
51,5.058252,1.5527682,
52,4.949408,1.5490315,
53,4.6386724,1.5411845,
54,4.710218,1.5282183,
55,4.5636983,1.5191897,
56,5.03547,1.4989592,
57,5.5515194,1.4791075,
58,5.8648567,1.4653292,
59,6.292604,1.4672962,
60,6.1757903,1.4691515,
61,6.441665,1.4814507,
62,6.038753,1.495846,
63,5.4627237,1.5074136,
64,5.0564556,1.5244958,
65,4.8462567,1.5392158,
66,4.2428155,1.537738,
67,4.585449,1.5500062,
68,4.733045,1.5554204,
69,5.099104,1.5608228,
70,4.811325,1.5683123,
71,4.914163,1.5636228,
72,4.5309043,1.550092,
73,4.8902493,1.5347319,
74,4.9804573,1.5254751,
75,5.0228705,1.5178039,
76,4.871539,1.5160755,
77,5.035554,1.5151496,
78,5.671226,1.5139272,
79,5.798035,1.5118166,
80,5.440831,1.5120173,
81,6.1650615,1.5154741,
82,5.740762,1.5205514,
83,5.8684306,1.5281633,
84,5.613079,1.5298338,
85,4.624945,1.5477442,
86,4.4473944,1.5655277,
87,4.372611,1.5601162,
88,4.9328938,1.5491145,
89,5.3170314,1.5409234,
90,4.31417,1.5543123,
91,4.3459687,1.5428499,
92,4.791143,1.5342039,
93,4.8725595,1.5318881,
94,5.0231657,1.519749,
95,5.252411,1.5096579,
96,5.7043715,1.4917549,
97,5.7957087,1.4960248,
98,5.6166997,1.5073712,
99,5.803286,1.5067687,
100,5.3101482,1.5178039,
101,5.2496743,1.5160755,
102,5.661622,1.5151496,
103,5.550442,1.5139272,
104,5.9967623,1.5118166,
105,5.4832597,1.5120173,
106,5.4544415,1.5154741,
107,5.8226686,1.5205514,
108,5.904662,1.5281633,
109,5.2916026,1.5298338,
110,4.6941166,1.5477442,
111,4.344986,1.5655277,
112,4.326775,1.5601162,
113,4.9306355,1.5491145,
114,5.3570976,1.5409234,
115,4.293153,1.5543123,
116,4.4742312,1.5428499,
117,4.765581,1.5342039,
118,5.037967,1.5318881,
119,5.171829,1.519749,
120,5.46014,1.5096579,
121,5.61275,1.4917549,
122,5.477037,1.4960248,
123,5.7187767,1.5073712,
124,5.9560704,1.5067687,
125,5.761487,1.5000275,
126,5.7331386,1.500045,
127,5.8224835,1.5129994,
128,5.856046,1.5137643,
129,5.582826,1.5092525,
130,5.7968245,1.491213,
131,5.710836,1.4897671,
132,5.999749,1.4883521,
133,6.095959,1.4885243,
134,6.102062,1.490473,
135,5.961794,1.4919386,
136,6.2982907,1.4870498,
137,6.2960463,1.4808645,
138,6.3692045,1.4725615,
139,6.4445624,1.4877335,
140,5.8031425,1.4970329,
141,5.7914686,1.5058185,
142,5.4100676,1.5026608,
143,5.8236747,1.508297,
144,6.0177593,1.5056324,
145,5.458699,1.5046047,
146,4.9236393,1.5131013,
147,4.7393503,1.5128431,
148,4.5747776,1.5231831,
149,4.498461,1.5308646,
150,5.7954965,1.5000275,
151,5.679458,1.500045,
152,5.7148404,1.5129994,
153,5.879404,1.5137643,
154,5.8617325,1.5092525,
155,5.820418,1.491213,
156,6.2083125,1.4897671,
157,6.055376,1.4883521,
158,6.1006317,1.4885243,
159,6.0906534,1.490473,
160,5.8230376,1.4919386,
161,6.318429,1.4870498,
162,6.400149,1.4808645,
163,6.0810046,1.4725615,
164,6.2844653,1.4877335,
165,5.4477177,1.4970329,
166,5.422895,1.5058185,
167,5.1995544,1.5026608,
168,5.6131086,1.508297,
169,6.0220275,1.5056324,
170,5.7174892,1.5046047,
171,5.0714784,1.5131013,
172,4.76574,1.5128431,
173,4.596744,1.5231831,
174,4.448796,1.5308646,
175,4.131642,1.5254229,
176,4.2881336,1.5278276,
177,4.3739686,1.5281514,
178,4.460556,1.5108734,
179,4.4448247,1.5072496,
180,4.5665636,1.5094538,
181,4.657142,1.5120913,
182,4.973994,1.5304726,
183,5.0796967,1.5356375,
184,5.3311353,1.5350943,
185,5.061585,1.5244886,
186,5.276927,1.5220337,
187,5.251454,1.5242254,
188,5.2374105,1.5217133,
189,5.1354527,1.518346,
190,5.011339,1.5148287,
191,5.039849,1.5264276,
192,5.14196,1.5346375,
193,4.6180053,1.553279,
194,4.8025184,1.5540291,
195,4.994294,1.5433661,
196,4.8391175,1.5385648,
197,5.363206,1.527412,
198,5.016874,1.5195962,
199,5.260196,1.5183753,
200,4.000193,1.5254229,
201,4.2187757,1.5278276,
202,4.0322366,1.5281514,
203,4.367898,1.5108734,
204,4.500827,1.5072496,
205,4.7073145,1.5094538,
206,4.7233562,1.5120913,
207,4.892823,1.5304726,
208,5.11343,1.5356375,
209,5.479149,1.5350943,
210,4.8449817,1.5244886,
211,5.166666,1.5220337,
212,5.2931194,1.5242254,
213,5.3788943,1.5217133,
214,5.1533647,1.518346,
215,5.1272535,1.5148287,
216,5.005218,1.5264276,
217,5.305997,1.5346375,
218,4.535954,1.553279,
219,4.707914,1.5540291,
220,5.243818,1.5433661,
221,4.9046416,1.5385648,
222,5.1744804,1.527412,
223,5.3609414,1.5195962,
224,5.300481,1.5183753,
225,5.382969,1.5215449,
226,5.309129,1.5248276,
227,5.6406255,1.5206422,
228,6.0625267,1.5192682,
229,5.9272056,1.5242623,
230,6.013342,1.5304815,
231,5.7023954,1.5226302,
232,5.854046,1.5277156,
233,5.8868604,1.530235,
234,6.007215,1.5160732,
235,5.8878317,1.5039893,
236,6.261582,1.4952964,
237,6.4638324,1.503307,
238,5.293377,1.5162275,
239,5.262264,1.5165751,
240,5.3208523,1.512291,
241,6.5932465,1.5017711,
242,7.161723,1.4964143,
243,6.3705134,1.507575,
244,6.028675,1.5048307,
245,6.0320687,1.5153776,
246,6.1085253,1.5297405,
247,6.505688,1.5351784,
248,6.658663,1.5377175,
249,6.542137,1.5416925,
250,5.2945294,1.5810435,
251,5.278192,1.5775437,
252,6.220155,1.5721309,
253,5.5707154,1.5689049,
254,4.8788195,1.570027,
255,5.5716634,1.5765953,
256,5.118365,1.571459,
257,4.9634056,1.5689116,
258,5.1016746,1.556756,
259,5.1492643,1.5511525,
260,5.2115927,1.5623198,
261,5.257472,1.5688295,
262,5.0065637,1.5659376,
263,6.1329827,1.5482053,
264,5.979683,1.5346068,
265,6.5180454,1.5141112,
266,7.1288633,1.4950819,
267,6.972604,1.4794394,
268,6.7070694,1.4891446,
269,5.685123,1.5097047,
270,4.968103,1.517571,
271,4.6061664,1.5272927,
272,4.669459,1.5407996,
273,4.8593884,1.539829,
274,4.7444468,1.5416952,
275,5.284994,1.5438142,
276,5.84386,1.5507355,
277,5.6713996,1.5556691,
278,5.764304,1.5455141,
279,5.0554757,1.5439515,
280,5.229543,1.5497608,
281,5.3481526,1.5493283,
282,5.279948,1.5450394,
283,5.4310355,1.5427605,
284,5.113963,1.5579803,
285,5.030903,1.5506266,
286,4.9920144,1.540015,
287,4.8915524,1.5499017,
288,4.6832676,1.5606207,
289,4.2610583,1.5543011,
290,4.6305146,1.5500157,
291,4.8815236,1.5449469,
292,5.273437,1.5450609,
293,5.7096524,1.5356079,
294,5.7416096,1.5409142,
295,6.2098784,1.5195007,
296,5.7253017,1.521484,
297,5.840076,1.5066272,
298,6.02352,1.4880669,
299,6.4721527,1.4969332,
300,5.4958982,1.5438142,
301,5.706313,1.5507355,
302,5.838585,1.5556691,
303,5.5535398,1.5455141,
304,4.8747125,1.5439515,
305,5.359135,1.5497608,
306,5.4699,1.5493283,
307,5.3061566,1.5450394,
308,5.0907373,1.5427605,
309,5.166488,1.5579803,
310,5.273009,1.5506266,
311,5.091848,1.540015,
312,5.055057,1.5499017,
313,4.625629,1.5606207,
314,4.402141,1.5543011,
315,4.8120055,1.5500157,
316,5.291767,1.5449469,
317,4.6121407,1.5450609,
