frame,expr_l2,theta_l2,expr_cosine
0,0.50463116,0.13596621,0.9965216
1,0.82251203,0.073155284,0.99605805
2,0.7937065,0.064577565,0.9966596
3,0.96862274,0.0968279,0.99258953
4,0.60476977,0.12703893,0.99507505
5,0.3839141,0.06997713,0.9979798
6,0.4798564,0.060711484,0.9974406
7,0.47496656,0.12658845,0.9962372
8,0.68593705,0.13514256,0.99213946
9,0.5711638,0.11452984,0.9951355
10,0.48023972,0.057583313,0.99593973
11,0.5162588,0.08746852,0.99520797
12,0.630281,0.09907654,0.9929723
13,0.700447,0.09389327,0.99192446
14,0.8092715,0.107729554,0.9878272
15,0.5477035,0.08142417,0.99471486
16,0.55506957,0.085941516,0.99648356
17,0.63654804,0.091270775,0.99621063
18,0.7955624,0.0846627,0.9934106
19,0.64954114,0.10344384,0.9924979
20,0.6100756,0.06785591,0.9947043
21,0.3807169,0.10208973,0.99774736
22,0.4646344,0.090627044,0.9961332
23,1.280378,0.09771425,0.9704799
24,0.8016759,0.10668784,0.9891558
25,4.8641343,0.16125442,0.6518376
26,7.105409,0.25003985,0.24141484
27,7.4832025,0.2111676,0.14307302
28,7.6536946,0.23147368,0.07158619
29,7.19755,0.29237607,0.15404844
30,5.95196,0.2294738,0.39904583
31,4.724495,0.21482047,0.60023206
32,3.1662111,0.21318729,0.81665343
33,4.1253963,0.2515107,0.6680805
34,6.7232037,0.2563276,0.13169932
35,7.2649035,0.18934757,0.042604446
36,5.5881567,0.20270944,0.43136084
37,4.7633734,0.19767132,0.6053598
38,5.9259615,0.22502139,0.39286864
39,7.597252,0.3030369,0.068066895
40,6.503478,0.21266776,0.3423735
41,6.221127,0.16894758,0.38994652
42,5.6108575,0.114058554,0.48793966
43,4.7115,0.14951615,0.63332343
44,1.7567743,0.12280087,0.9431708
45,3.648086,0.09041315,0.7355121
46,6.454749,0.12380858,0.18327886
47,7.1428413,0.20622043,0.04430175
48,7.1335464,0.2098587,0.009161413
49,6.967083,0.20262152,0.04455465
50,4.883329,0.17336248,0.64595526
51,6.9812584,0.22249186,0.2580415
52,7.3818755,0.20323157,0.1708867
53,7.6062913,0.20500576,0.08499998
54,7.255825,0.26934305,0.13655561
55,5.9426827,0.20928714,0.3991983
56,4.639825,0.2157078,0.6085226
57,3.0720673,0.20974597,0.82824457
58,4.0618715,0.23875289,0.67440355
59,6.701737,0.23300815,0.1338008
60,7.265305,0.20036519,0.04472822
61,5.5664544,0.22938447,0.42484647
62,4.766688,0.19651583,0.60494465
63,5.531705,0.23508494,0.46076286
64,7.422665,0.3018992,0.10404259
65,6.4784274,0.2063979,0.34570962
66,6.176388,0.16105497,0.39299595
67,5.499694,0.17284723,0.5108304
68,4.6541023,0.12300603,0.6429254
69,1.703848,0.11733123,0.9464236
70,3.3974547,0.09909278,0.77193755
71,6.4256873,0.1152579,0.19310284
72,7.1855826,0.18464884,0.040833354
73,7.2630773,0.22516976,-0.013899684
74,7.0985513,0.20031632,0.029031873
75,7.172329,0.15820399,0.10166377
76,2.7495785,0.16665597,0.86864454
77,2.3666248,0.20047843,0.9056928
78,1.9996508,0.16395634,0.9332584
79,3.3309565,0.1625962,0.81394756
80,5.0521913,0.17555557,0.58640313
81,5.5082755,0.16288184,0.50440955
82,5.5957665,0.16151391,0.46786654
83,5.768381,0.16418064,0.44448823
84,5.7918005,0.1644311,0.4561677
85,5.047515,0.13830839,0.50760204
86,5.556874,0.19909221,0.37222743
87,6.577207,0.15195534,0.1434046
88,6.0721917,0.21272604,0.3002292
89,6.82148,0.23624887,0.22485757
90,7.410029,0.16693252,0.1196779
91,5.868191,0.21261446,0.35355484
92,5.7588058,0.24308695,0.32006383
93,5.8033395,0.19100524,0.32846093
94,5.886863,0.16990367,0.3051492
95,6.103247,0.22822183,0.26703483
96,5.3611956,0.28412515,0.49533325
97,6.1808386,0.30495387,0.38336754
98,6.734528,0.2926048,0.21478665
99,7.689096,0.23613232,0.024426103
100,6.868835,0.18497322,0.15676433
101,2.8118567,0.18278304,0.86416817
102,2.3491395,0.15499829,0.90715986
103,2.173401,0.15690911,0.9206193
104,2.9965544,0.14865175,0.84930104
105,4.754329,0.13116235,0.6254765
106,5.279855,0.1308343,0.5332525
107,5.335659,0.13931905,0.5094947
108,5.640739,0.15105368,0.46460772
109,5.7022986,0.1659867,0.47263741
110,4.8751636,0.13810058,0.53229964
111,5.396429,0.21194987,0.37107664
112,6.241667,0.20090309,0.20690775
113,6.477949,0.23698883,0.19921315
114,6.748727,0.25042722,0.24041194
115,7.4463725,0.19512634,0.09865588
116,5.9147096,0.23765846,0.33176154
117,5.503451,0.2654196,0.33709764
118,5.783686,0.17762114,0.3391751
119,5.8937063,0.2476057,0.305892
120,6.1804395,0.22821772,0.24614036
121,5.4968877,0.23910555,0.461693
122,6.1064835,0.3005555,0.38849485
123,6.2672076,0.2786281,0.30886555
124,7.0875397,0.30179775,0.120003164
125,5.9708247,0.1844513,0.4258296
126,5.6240134,0.16647062,0.4490149
